BL record ID,Type of resource,Content type,Material type,BNB number,Archival Resource Key,ISBN,Name,Dates associated with name,Type of name,Role,All names,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of creation/publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes,Provenance
59002,Monograph,Language material ; Text,Volume,GB7026676,,9780333031117 ; 9780333068304,,,,,"Allott, Miriam Farris, editor [person]","Emily Brontë, Wuthering Heights : a casebook",,Casebook series,,England,Basingstoke ; London,Macmillan,1970,,"272 pages, 19 cm",823.8,X.908/22040 ; X.989/7736 ; X27/2661,"Brontë, Emily, 1818-1848",,English,,
259294,Monograph,Language material ; Text,Volume,,,,"Brontë, Charlotte",1816-1855,person,author,"Brontë, Anne, 1820-1849, author [person] ; Law, William, 1836-1901 [person] ; Hasler, John, printer [person] ; Aylott and Jones (Firm), publisher [organisation] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Charlotte, 1816-1855, author [person]",Poems,,,,England,England ; London,"Aylott & Jones, 8, Paternoster Row",1846,,"iv, 165 pages, 18 cm (8°)",,C.59.fff.6 ; Hon.1,,,English,"Currer, Ellis and Acton Bell are pseudonyms for Charlotte, Emily and Anne Brontë ; First printed work of the Brontë sisters",
259295,Monograph,Language material ; Text,Volume,,,,"Brontë, Charlotte",1816-1855,person,author,"Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849, author [person]",Poems,,,,United States of America,Philadelphia,Lea & Blanchard,1848,,"iv, 13-176 pages, 18 cm",,11646.bb.26,,,English,,
259429,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849 [person]",Wuthering heights : a novel,Agnes Grey,,,England,London,Thomas Cautley Newby,1847,,"3 volumes, 19 cm",,C.70.d.12,,,English,volume 3 has title: Agnes Grey : a novel / by Acton Bell,
259430,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849 [person]",Wuthering Heights ; and Agnes Grey,Agnes Grey,,,England,London,"Smith, Elder",1850,"A new edition revised, with a biographical notice of the authors, a selection from their literary remains, and a preface, by Currer Bell","iii-xxiv, 504 pages, 19 cm",,C.71.bb.4,,,English,,
259431,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849 [person]",Wuthering Heights ; and Agnes Grey,Agnes Grey,,,England,London,"Smith, Elder",1851,"A new edition revised, with a biographical notice of the authors, a selection from their literary remains, and a preface, by Currer Bell","xxiv, 504 pages, 19 cm",,12654.b.3,,,English,,
259432,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights : a novel,,,,United States of America,New York,Harper,1857,,"288 pages, 20 cm",,12654.t.10,,,English,,
259433,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849 [person]",Wuthering Heights,Agnes Grey,,,England,London,"Smith, Elder",1858,New edition,"446 pages, 18 cm",,12654.b.1,,,English,,
379454,Monograph,Language material ; Text,Volume,,,,"Blondel, Jacques",,person,,"Blondel, Jacques [person]",Emily Brontë : expérience spirituelle et création poétique,,Publications de la Faculté des Lettres de l'Université de Clermont,"sér. 2, fascicule 3 [Publications de la Faculté des Lettres de l'Université de Clermont]",France,Paris,,1955,,452 pages (8°),,11858.h.19,"Brontë, Emily, 1818-1848",,French,,
485557,Monograph,Language material ; Text,Volume,,,,,,,,"Gaskell, Elizabeth Cleghorn, 1810-1865 [person] ; Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Anne, 1820-1849, author [person]",Life and works of Charlotte Brontë and her sisters,Life of Charlotte Brontë,,,England,London,"Smith, Elder",1872-1873,,7 volumes (8°),,2344.e.1,"Brontë, Charlotte, 1816-1855",,English,volume 7. The Life of Charlotte Brontë. By Mrs. Gaskell,
