Static_Library_Name,Item_Category,Number_of_Issues,Number_of_Renewals,Total,Year
Antrim Library,Adult Fiction,14717,5224,19941,2021
Antrim Library,Adult Fiction Large Print,812,251,1063,2021
Antrim Library,Adult Fiction Spoken Word,553,355,908,2021
Antrim Library,Adult Non-fiction,3888,2408,6296,2021
Antrim Library,Adult Non-fiction Large Print,7,2,9,2021
Antrim Library,Adult Non-fiction Spoken Word,31,17,48,2021
Antrim Library,Adult Reference,3,4,7,2021
Antrim Library,Chatterbooks,4,4,8,2021
Antrim Library,Curriculum Support Collection,58,21,79,2021
Antrim Library,Junior Fiction,23472,5938,29410,2021
Antrim Library,Junior Fiction Large Print,18,12,30,2021
Antrim Library,Junior Fiction Spoken Word,68,13,81,2021
Antrim Library,Junior Language Pack,37,23,60,2021
Antrim Library,Junior Non-fiction,3258,1143,4401,2021
Antrim Library,Junior Non-fiction Spoken Word,7,2,9,2021
Antrim Library,Junior Reference,1,,1,2021
Antrim Library,Language Course ,5,1,6,2021
Antrim Library,Reading Development,12,14,26,2021
Antrim Library,Reading Group,95,58,153,2021
Antrim Library,Teenage Fiction,455,152,607,2021
Antrim Library,Teenage Non-fiction,38,10,48,2021
Ardoyne Library,Adult Fiction,3921,1522,5443,2021
Ardoyne Library,Adult Fiction Large Print,301,62,363,2021
Ardoyne Library,Adult Fiction Spoken Word,138,68,206,2021
Ardoyne Library,Adult Non-fiction,909,1036,1945,2021
Ardoyne Library,Adult Non-fiction Large Print,8,3,11,2021
Ardoyne Library,Adult Non-fiction Spoken Word,1,1,2,2021
Ardoyne Library,Adult Reference,3,6,9,2021
Ardoyne Library,Curriculum Support Collection,9,3,12,2021
Ardoyne Library,Junior Fiction,6826,1683,8509,2021
Ardoyne Library,Junior Fiction Large Print,1,1,2,2021
Ardoyne Library,Junior Fiction Spoken Word,5,4,9,2021
Ardoyne Library,Junior Language Pack,,4,4,2021
Ardoyne Library,Junior Non-fiction,596,207,803,2021
Ardoyne Library,Junior Non-fiction Large Print,1,,1,2021
Ardoyne Library,Junior Non-fiction Spoken Word,1,,1,2021
Ardoyne Library,Music CD,6,1,7,2021
Ardoyne Library,Reading Development,27,9,36,2021
Ardoyne Library,Reference Non-borrowable,5,1,6,2021
Ardoyne Library,Teenage Fiction,39,47,86,2021
Ardoyne Library,Teenage Non-fiction,16,15,31,2021
Armagh Irish and Local Studies Library,Adult Fiction,9,18,27,2021
Armagh Irish and Local Studies Library,Adult Non-fiction,15,23,38,2021
Armagh Irish and Local Studies Library,Junior Fiction,,7,7,2021
Armagh Irish and Local Studies Library,Junior Language Pack,,1,1,2021
Armagh Irish and Local Studies Library,Junior Non-fiction,,1,1,2021
Armagh Irish and Local Studies Library,Reading Group,,1,1,2021
Armagh Irish and Local Studies Library,Reference Non-borrowable,4,,4,2021
Armagh Library,Adult Fiction,12596,6580,19176,2021
Armagh Library,Adult Fiction Large Print,832,342,1174,2021
Armagh Library,Adult Fiction Spoken Word,466,314,780,2021
Armagh Library,Adult Non-fiction,2567,2607,5174,2021
Armagh Library,Adult Non-fiction Large Print,37,4,41,2021
Armagh Library,Adult Non-fiction Spoken Word,23,45,68,2021
Armagh Library,Adult Reference,1,,1,2021
Armagh Library,Chatterbooks,,4,4,2021
Armagh Library,Curriculum Support Collection,72,134,206,2021
Armagh Library,DVD U,1,,1,2021
Armagh Library,Junior Fiction,27166,7270,34436,2021
Armagh Library,Junior Fiction Large Print,3,3,6,2021
Armagh Library,Junior Fiction Spoken Word,68,33,101,2021
Armagh Library,Junior Language Pack,21,27,48,2021
Armagh Library,Junior Non-fiction,3236,1139,4375,2021
Armagh Library,Junior Non-fiction Spoken Word,7,3,10,2021
Armagh Library,Language Course ,1,,1,2021
Armagh Library,Music CD,35,6,41,2021
Armagh Library,Reading Development,4,3,7,2021
Armagh Library,Reading Group,271,105,376,2021
Armagh Library,Reference Non-borrowable,1,,1,2021
Armagh Library,Teenage Fiction,305,219,524,2021
Armagh Library,Teenage Non-fiction,38,25,63,2021
Armagh Library,Uncategorised,,2,2,2021
